"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216"
"126",NA,NA,NA,NA,NA,NA,99.2457511490064,98.1338028760709,49.3278334065629,63.6750979931692,56.6053216496896,61.5459228524626,82.5880491685083,100.628489088831,62.5406099009153,47.0697643487843,157.597871092785,125.354730781185,89.1115906876768,73.2371491173483,123.941095211032,181.953135768316,42.0897006771145,49.8937972346697,56.0908228639753,83.9250120900695,73.7607839648292,45.8459827436945,57.1750739160609,50.281492560556,58.5149950055847,47.604864534376,72.7500636211414,49.1148495700226,57.7875395275797,68.9382533194914,75.1457199656959,89.6319063421962,154.887084550018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2719463293872,65.6194192770372,61.3456252088606,50.9605858204443,147.342802381954,184.806456233417,175.41796799902,147.587644261258,NA,NA,NA,NA,NA,94.1053610258081,112.897153228832,135.838339359409,183.748417206704,113.919699378316,50.529390351778,52.3156934758945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,112.611246168566,100.153353144816,61.2737981605798,68.6389053571825,53.0881031561285,70.0767800329642,81.9911367172287,96.0653810604336,82.2564638259664,97.360952182663,135.695461866995,105.559018447026,49.2581961672419,59.3515784727457,151.474825199585,131.873456159088,85.2222104720999,58.5952829941342,52.5018342549487,68.8374143117002,64.2697022370846,45.3556855159628,51.5128815371715,55.3329521524074,70.3220695846891,48.7027666529687,58.0870868354634,46.3018729742933,85.4743293948778,76.2633435242567,73.2786472934676,70.2345908879638,105.092399084439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6407146842775,162.399128129179,185.927019996239,190.423382116863,166.940603471187,158.314198042302,51.2650807695476,NA,NA,NA,NA,NA,NA,78.4366712803143,75.9728541816238,166.203101086307,167.185868017599,83.8061367498789,123.246095338854,176.288503270292,203.68159619963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA,77.3655917863116,73.4653034075239,64.988973547196,61.1707170783292,48.9981238934231,41.7116414442995,93.8051028266853,102.860752015613,134.806613717205,122.15896977797,100.404970736284,69.5756252903455,59.4491302474922,138.854174599398,87.1594916002302,155.462469485285,69.4907674956258,51.1935843820786,51.2086200278923,62.4602122848723,50.6243395748479,71.4713298376721,57.9266769583964,35.3017889891231,55.0421384303647,48.4243489757668,81.432867049909,89.3580131988233,84.2429702640122,63.6083807313627,58.8726281044279,79.7164830890618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7966068252514,137.993113979575,60.1344219170385,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.356695813907,83.4256067868142,123.909316664911,108.824258221167,82.9602241261268,77.0618172534438,85.605252887251,120.727728213704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA,NA,NA,88.266367419726,66.8088055359382,73.790284194893,62.6162609889587,45.4002199256714,35.8119670198642,95.3979960839777,88.7135298334264,101.145714066697,92.0136431651468,74.1767825506301,69.0409950403646,57.184366588411,86.3479099325695,174.984966935464,54.827644735074,117.151438517925,49.2104718740443,45.5936919915131,48.9528730318877,52.1955671116941,103.97911624921,58.9731493312593,37.7427661684557,47.5250004243493,38.0673969820145,94.0877497620017,72.8871920026636,71.9939313271428,70.4189613834431,53.3580969935939,73.8898481992624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.672516015439,96.9708926978847,88.7653407005163,91.1252496173806,87.0184731022576,82.3337140459248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,138.505863613654,82.5668379291692,67.9942323119059,62.0800099147672,72.8393229241704,93.1380759556932,85.4432719743879,78.1062132473498,34.8129949652899,76.1899487422981,81.2432612370495,65.7438760043233,55.2864027752971,77.3471522311013,167.314255928778,117.481236972737,147.384558610859,122.326558411244,50.7564259978859,49.6160272711204,50.0189026134861,64.0412226821664,40.4651092700747,46.6733846887689,48.3873011957988,41.108805073686,123.098250859908,66.7279981614953,82.9908005107807,70.4877928069276,60.3896720427209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.818117682375,74.8759458884556,77.3439495815018,112.948919522021,100.595039281884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,59.3301710418241,65.250580726247,66.4117656972752,37.480735731806,82.3359424499832,87.702794255645,82.4492843977914,47.7866129476588,63.566528362858,79.8648572599646,70.0553913429862,52.1228008682449,52.5272385755593,105.270837734408,156.732423224368,29.9205432977256,151.782088876805,46.5348986399097,55.0509851587799,45.9354001979557,57.4761680260421,52.5537218082132,42.5677704179764,44.1391966030157,43.0249904852508,52.2652698265384,49.786002398993,80.0653610274145,75.5958026711746,66.9290364527426,57.2995127957785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.730322772374,152.020814548738,84.3644775762691,84.9226414652492,89.6096989090492,53.086205256485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,NA,NA,NA,NA,NA,NA,NA,118.316273016504,78.5244496262134,68.5597874952828,35.8436262473414,98.3875974810907,79.1944582309894,32.1924558718099,33.1639008703093,34.0072663755994,93.716445976121,85.510426889546,54.3238934917297,53.7382494512652,156.569412988041,172.859014813764,58.75295170942,43.3208052197125,67.0956528806341,58.4955330727665,46.8891196966267,49.9385770503532,45.8412739448524,38.1890304657366,42.5376695691377,54.2517312249563,45.6787955528346,48.2557487760738,64.9342784308223,73.100229958276,68.8464333575069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.338070881096,83.324861505556,78.6540191124247,83.1612997505356,95.6366004633882,51.4797958480499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,NA,NA,NA,NA,NA,NA,NA,142.528429887199,62.8493722440577,70.4707022627753,35.0012230131247,100.979674258276,63.4994440331302,31.0314956682571,30.5226574503035,43.1055049178352,78.1112249365276,104.335233997483,53.9591207047149,58.5544826729642,97.1904443725606,125.895318102616,137.578814137696,127.803185501264,158.382739129168,43.7758047383592,47.5508433418494,44.8944160433256,44.3126981474383,43.1233001972665,39.1109716477073,45.6905677885238,40.0343871921492,118.417776147819,67.602386145067,69.5375466252229,66.1941750405568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4309640045189,98.9822540040792,80.0934410722728,83.9385177889113,83.4637193504792,94.3696582454409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,125.148069685582,67.9695131030728,35.7278926229019,112.086282964073,50.9724551349061,29.1619566317679,33.0904616320331,43.6109007344314,56.2023932880583,111.528135703755,54.4113782885781,82.9998169085414,61.4050725793755,71.93751679694,120.527646134743,142.487548475499,32.8023317766329,164.008548420424,52.4527617372415,48.0129798739485,47.1430897951011,46.9121038285225,41.0010341112447,36.6404137096436,41.726308851336,113.437406049961,49.2610765740253,65.3520391625372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.697402916019,186.689598466215,NA,NA,52.1765856063461,NA,NA,NA,NA,NA,NA,NA,176.607444878758,81.4006014304588,98.5367298574138,82.5071123028404,83.2820751541448,55.4319942806067,NA,50.8869021382697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.0746566138253,47.2705831131879,88.0986943483973,103.961384322405,39.1768397665714,41.8301070608899,48.6003773172773,56.6583692417888,104.643987569622,53.8169041058731,74.0773030592898,66.4939749903211,61.1414421171902,79.7638657922352,106.975049821601,173.564449977296,107.942448043418,90.7601786196789,46.1755071303822,46.3366722738023,52.4826587842675,37.37836764108,34.5258883701775,38.2532007950205,109.55689491683,59.5392838017983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4156040517345,177.280792007851,NA,NA,116.857490120148,NA,NA,NA,NA,NA,NA,NA,173.230861179498,82.4146776400592,85.8688215021513,94.6846550541143,98.468893386811,102.492851428308,108.287266808556,133.543096902248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.3296545206181,83.7194489619838,48.6609965004084,124.172137984265,58.2247515339527,46.9463092409108,52.4065670738649,59.2326327259798,84.3232071398375,57.0923496449036,47.9029437296623,50.0531655110567,53.2507708455462,61.9402792635102,177.862889500567,75.6253218234796,105.246375988901,82.2253212126679,89.9541693260297,59.8032310749622,47.6350621465588,48.0772797547408,35.7493677607768,33.6758507498536,90.3673414764686,54.5538182842851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.0320150248332,96.7044173794449,NA,NA,89.0112477875651,NA,NA,52.3333595251953,71.9979899476698,NA,NA,NA,85.9141900867274,83.3342575373338,96.5652254412931,102.758415151778,91.8339018352307,105.067321782596,78.9407178378862,86.6970676421202,122.75058067366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5380006870418,56.9463790904326,86.402054775694,82.6787289240669,46.9196401854764,50.1074613584964,53.9497519962277,76.2092124881827,52.5012282406187,48.2181576152557,40.0159530872866,43.6999442793418,54.3386870724988,91.2435070530183,54.4720737622617,148.341791583326,84.6141665084989,160.907513614091,99.9121258882849,57.6170787647322,56.7389251071575,46.0388278144224,35.3485398538985,77.3581052156774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.0475191827537,163.331232149978,47.1620760669604,103.639358609706,86.1528976810925,92.0267201983118,58.4575108769569,47.9648871499454,82.5677935122971,NA,NA,NA,98.1784968670868,85.3253175342589,96.3288089353135,94.3656420388314,84.9975637868007,95.0018361156159,83.8438771019563,95.4238067501256,90.5002019961143,60.243766982116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7775155776776,97.1273009824966,56.0448396251251,121.728478644976,59.040642449148,54.1878332425546,50.7749458038973,64.1188400448618,67.8291241367564,55.1705873542704,46.0020337947759,45.2150132655544,53.7888656851629,86.5657036523506,88.8108573575962,148.779578485324,143.190315616392,167.235008053437,93.8664794726496,75.6188339555028,95.0494140552855,69.4519052992349,104.739083229616,36.1779476356131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.228486364238,123.805251490642,99.8902082624433,75.5038186628492,87.3537401277589,78.7078642419063,77.8114161391878,74.682002699635,89.1098039465301,NA,NA,NA,NA,81.9720441993438,98.7657859383207,97.565747737344,102.003763460946,81.2275158971446,94.2328292155342,97.1516000106075,87.5755616474428,40.8374204789401,39.1073864124955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.042761039885,59.3497492300714,127.845526891553,88.5843594033202,58.795500273551,53.9428805902088,64.3272440328778,64.3524948121696,60.9520368956555,45.8310198717806,44.7028244614684,53.0961820944025,69.6697075342923,174.734765198979,134.660670931853,158.808634911025,165.495138168489,92.3905869898486,177.800408177233,116.929551197503,91.7033406453879,76.148796709947,38.0843395169926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.621214406687,107.461477477115,100.908413099036,75.9209781074158,76.9638597877095,70.3571742312895,76.8198412484224,75.8853854365498,102.184522781517,NA,NA,NA,NA,61.5254067024825,93.3951022101064,99.4948715792188,114.340114261661,97.3349433496917,102.508200304428,103.76657625738,72.1463207851674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.917881434807,97.3838428310225,68.4664282431038,128.634331777061,60.912137715808,50.3337445334076,58.3134292311397,61.9408521023091,64.0271416360887,52.2908663166463,48.8605667770115,53.3799496393835,57.8535235760091,146.965293951335,101.635467828875,167.727696899413,108.494715446903,150.154863872249,181.934287757945,125.384607656648,186.360849341092,39.7124508531775,35.9540057386571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.6352264713523,117.389128071153,78.6922303849558,69.9054591844971,77.3652859802455,67.9266876347671,75.7425461224946,89.4379353506476,74.2296090000545,NA,NA,NA,NA,NA,105.931516680773,104.145676828902,92.0777726454171,99.9400712029453,108.985041784606,109.5923779825,69.6925132640797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
